名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
前島 恵美,まえじま めぐみ,maejima_megumi@example.com,女,62,1956/5/28,既婚,A型,三重県,024-608-3504,080-3717-5473,ドコモ,ぶっかけ・混ぜ混ぜ派
杉本 真奈美,すぎもと まなみ,sugimoto_manami@example.com,女,54,1964/5/6,既婚,A型,東京都,046-878-3937,090-6617-9335,ドコモ,ぶっかけ・ルー攻め派
吹石 サンタマリア,ふきいし さんたまりあ,fukiishi_stmaria@example.com,男,71,1947/8/16,既婚,A型,東京都,014-371-3527,090-7219-9780,au,右ルー・せき止め派
本村 あさみ,ほんむら あさみ,honnmura_asami@example.com,女,67,1951/9/7,既婚,AB型,鹿児島県,046-292-1494,080-1061-1427,au,ぶっかけ・ルー攻め派
奥山 砂羽,おくやま さわ,okuyama_sawa@example.com,女,34,1984/7/5,既婚,B型,徳島県,069-948-1377,090-7163-8229,ドコモ,左ルー・せき止め派
結城 莉央,ゆうき りお,yuuki_rio@example.com,女,23,1995/1/8,未婚,O型,熊本県,095-545-5064,090-5166-4894,au,ぶっかけ・せき止め派
織田 恵子,おだ けいこ,oda_keiko@example.com,女,32,1986/8/18,既婚,AB型,滋賀県,028-300-9910,090-1579- 938,ドコモ,手前ルー・せき止め派
小倉 千佳子,おぐら ちかこ,ogura_chikako@example.com,女,34,1984/9/1,既婚,A型,福島県,034-497-7296,090-3260-3713,ドコモ,右ルー・混ぜ混ぜ派
並木 俊介,なみき しゅんすけ,namiki_shunsuke@example.com,男,43,1974/11/30,既婚,A型,高知県,023-592-6070,090-5642-3247,ソフトバンク,左ルー・混ぜ混ぜ派
橋本 由美子,はしもと ゆみこ,hashimoto_yumiko@example.com,女,37,1981/1/8,既婚,B型,愛知県,060-252-6301,090- 725-8563,au,左ルー・ルー攻め派
奥村 ひとり,おくむら ひとり,okumura_hitori@example.com,男,66,1951/12/23,既婚,O型,愛知県,065-761-7939,080-8423-6662,ソフトバンク,右ルー・せき止め派
高倉 遥,たかくら はるか,takakura_haruka@example.com,女,39,1978/12/30,既婚,O型,長野県,038-206-6848,080-3673-5898,au,奥ルー・ナン派
森下 陽介,もりした ようすけ,morishita_yousuke@example.com,男,20,1998/4/20,未婚,O型,福岡県,062-804- 963,080-8377-1023,ドコモ,左ルー・ルー攻め派
今田 一樹,いまだ かずき,imada_kazuki@example.com,男,34,1984/1/15,既婚,O型,鹿児島県,013-109-2821,080-1201-7916,ドコモ,手前ルー・混ぜ混ぜ派
広末 陽介,ひろすえ ようすけ,hirosue_yousuke@example.com,男,21,1996/12/20,未婚,O型,埼玉県,0  -948-4169,090-3468-9416,ソフトバンク,左ルー・せき止め派
山上 貴美子,やまがみ きみこ,yamagami_kimiko@example.com,女,67,1951/9/19,既婚,B型,新潟県,066-169-2393,080-3712-2672,ソフトバンク,ぶっかけ・せき止め派
牧 美希,まき みき,maki_miki@example.com,女,28,1989/11/30,既婚,O型,宮城県,088-834-7710,090-1168-3488,ドコモ,ぶっかけ・ナン派
梅本 由樹,うめもと ゆき,umemoto_yuki@example.com,女,57,1960/11/18,既婚,A型,沖縄県,090-631-4283,090-1988-6327,au,手前ルー・別口派
鬼頭 さやか,きとう さやか,kitou_sayaka@example.com,女,71,1947/6/26,既婚,O型,兵庫県,036-179-  98,080-1952-4316,au,右ルー・別口派
河本 茂樹,こうもと しげき,koumoto_shigeki@example.com,男,78,1940/2/3,既婚,B型,福岡県,085-387-7702,080- 188-2220,au,左ルー・ルー攻め派
山中 法嗣,やまなか ほうし,yamanaka_houshi@example.com,男,54,1964/1/24,既婚,O型,鳥取県,073-516-7104,080-5745-7631,au,奥ルー・ルー攻め派
田村 瞳,たむら ひとみ,tamura_hitomi@example.com,女,66,1952/10/17,既婚,AB型,神奈川県,072- 56-6586,080-1744- 622,ドコモ,手前ルー・せき止め派
及川 きみまろ,おいかわ きみまろ,oikawa_kimimaro@example.com,男,67,1951/1/14,既婚,A型,埼玉県,0 8-555-9813,080-9349-1665,au,ぶっかけ・ナン派
黒岩 一哉,くろいわ かずや,kuroiwa_kazuya@example.com,男,25,1992/12/16,既婚,AB型,大阪府,033-724- 966,090-9951-9773,au,右ルー・ルー攻め派
柳田 完爾,やなぎだ かんじ,yanagida_kanji@example.com,男,21,1996/11/12,既婚,O型,長野県,040-417-3054,080-5382-9259,ドコモ,ぶっかけ・別口派
樋口 建,ひぐち けん,higuchi_ken@example.com,男,50,1968/4/18,既婚,O型,大阪府,0 4-720-5096,080-2007-2091,au,奥ルー・ナン派
黒木 美智子,くろき みちこ,kuroki_michiko@example.com,女,73,1945/3/3,既婚,B型,神奈川県,088-109-9740,090-2197-5805,au,奥ルー・混ぜ混ぜ派
沼田 美佐,ぬまた みさ,numata_misa@example.com,女,24,1994/7/15,既婚,O型,長野県,0 6-993-5601,090-6663-8706,ドコモ,別盛り・混ぜ混ぜ派
町田 紗季,まちだ さき,machida_saki@example.com,女,38,1979/12/1,未婚,B型,愛知県,045-492-4443,080-2597-5584,ソフトバンク,左ルー・ルー攻め派
川西 米蔵,かわにし よねぞう,kawanishi_yonezou@example.com,男,47,1971/1/19,既婚,A型,東京都,041-608- 918,080-1443-1471,ドコモ,右ルー・ルー攻め派
合田 一代,あいだ かずよ,aida_kazuyo@example.com,女,25,1993/3/27,既婚,A型,高知県,038-792-5527,080-5460-4790,ドコモ,ぶっかけ・ルー攻め派
筒井 真奈美,つつい まなみ,tsutsui_manami@example.com,女,79,1939/4/8,既婚,B型,北海道,0 9-143- 903,090-3342-8308,ソフトバンク,左ルー・ナン派
小町 愛子,こまち あいこ,komachi_aiko@example.com,女,46,1972/5/21,既婚,O型,東京都,038-507-6842,090- 292-6713,au,手前ルー・混ぜ混ぜ派
国分 小雁,こくぶん こがん,kokubunn_kogan@example.com,男,20,1998/8/16,未婚,B型,大阪府,099-878-2278,080- 840- 186,ドコモ,別盛り・ルー攻め派
真鍋 翔子,まなべ しょうこ,manabe_shouko@example.com,女,31,1987/8/2,既婚,O型,兵庫県,052-534-2890,080-9477- 487,ドコモ,左ルー・せき止め派
細川 瑠璃亜,ほそかわ るりあ,hosokawa_ruria@example.com,女,20,1998/5/25,未婚,AB型,宮城県,097-211- 893,090-4168-4648,au,ぶっかけ・ルー攻め派
星 優,ほし ゆう,hoshi_yuu@example.com,女,22,1996/3/13,既婚,A型,兵庫県,047-765-6245,090-9946-2601,au,左ルー・混ぜ混ぜ派
安座間 美佳,あざま みか,azama_mika@example.com,女,39,1979/10/4,既婚,A型,兵庫県,0 8- 47-4038,080-4614-9773,ソフトバンク,左ルー・別口派
藤山 勝久,ふじやま かつひさ,fujiyama_katsuhisa@example.com,男,68,1950/9/23,既婚,A型,栃木県,042-387-8867,090-8744-8679,ソフトバンク,ぶっかけ・混ぜ混ぜ派
重松 洋介,しげまつ ようすけ,shigematsu_yousuke@example.com,男,57,1961/9/25,既婚,AB型,愛知県,0  -841-5942,090-4375-8430,ソフトバンク,左ルー・ルー攻め派
本山 真一,ほんやま しんいち,honnyama_shinichi@example.com,男,29,1989/1/11,未婚,B型,神奈川県,066-718-6377,090-7829-9608,ドコモ,ぶっかけ・ルー攻め派
西原 里奈,にしはら りな,nishihara_rina@example.com,女,47,1971/3/4,既婚,A型,神奈川県,077-492-3783,080-9976-5440,ドコモ,ぶっかけ・混ぜ混ぜ派
芹沢 晃司,せりざわ こうじ,serizawa_kouji@example.com,男,68,1949/12/3,既婚,B型,東京都,096-738-1875,080-6035-4171,ドコモ,左ルー・せき止め派
西川 杏,にしかわ あん,nishikawa_ann@example.com,女,70,1948/8/23,既婚,O型,大阪府,034-896- 840,080-9196-2119,ソフトバンク,左ルー・ルー攻め派
仲村 礼子,なかむら れいこ,nakamura_reiko@example.com,女,69,1948/11/16,既婚,O型,兵庫県,079-485-5426,080-1481- 596,ドコモ,ぶっかけ・せき止め派
上山 七世,かみやま ななせ,kamiyama_nanase@example.com,女,37,1980/11/30,既婚,A型,高知県,015-987-5077,080-2889-6460,ツーカー,奥ルー・混ぜ混ぜ派
塩見 愛梨,しおみ あいり,shiomi_airi@example.com,女,59,1959/8/12,既婚,A型,大阪府,0 5-161-8343,090- 165-9050,ドコモ,ぶっかけ・せき止め派
堀川 達士,ほりかわ たつひと,horikawa_tatsuhito@example.com,男,38,1980/4/28,既婚,B型,兵庫県,066- 99-2778,080-4538-2114,au,左ルー・せき止め派
市川 貴嶺,いちかわ たかね,ichikawa_takane@example.com,男,48,1970/5/13,既婚,AB型,北海道,029-669-5106,090-6200-3184,ドコモ,ぶっかけ・せき止め派
渡部 はるみ,わたべ はるみ,watabe_harumi@example.com,女,30,1988/9/6,未婚,B型,千葉県,087- 61-1645,080-4811-8587,au,ぶっかけ・せき止め派
坂田 涼,さかた りょう,sakata_ryou@example.com,女,70,1948/5/2,既婚,A型,長野県,0 4- 54-9065,080- 213-8983,ソフトバンク,右ルー・ルー攻め派
塩谷 兼,しおや けん,shioya_ken@example.com,男,65,1953/2/1,既婚,A型,石川県,039-614-8861,080-9958- 175,ドコモ,右ルー・せき止め派
乾 夏希,いぬい なつき,inui_natsuki@example.com,女,28,1990/3/22,既婚,O型,岐阜県,012-183-7023,090-3008-1391,ドコモ,奥ルー・ルー攻め派
横井 和久,よこい かずひさ,yokoi_kazuhisa@example.com,男,72,1946/5/19,既婚,O型,埼玉県,062-777-8116,080- 573-1798,ドコモ,左ルー・ルー攻め派
砂川 真吾,すなかわ しんご,sunakawa_shingo@example.com,男,80,1938/10/25,既婚,B型,佐賀県,085-693-4045,090-6198-5328,ソフトバンク,右ルー・せき止め派
大庭 早織,おおにわ さおり,ooniwa_saori@example.com,女,56,1962/5/14,既婚,A型,千葉県,031- 40-1138,090-1700-9903,ドコモ,ぶっかけ・ルー攻め派
小倉 竜次,おぐら りゅうじ,ogura_ryuuji@example.com,男,24,1994/2/6,未婚,A型,北海道,0 4-266-7771,080-1778-7913,ドコモ,左ルー・せき止め派
野沢 涼子,のざわ りょうこ,nozawa_ryouko@example.com,女,30,1988/7/18,既婚,B型,福岡県,0 6-154-7953,080-2760-   2,ソフトバンク,ぶっかけ・別口派
荻野 朝陽,おぎの あさひ,ogino_asahi@example.com,女,27,1991/8/26,未婚,A型,宮崎県,045-165-2983,090-8812-1148,ドコモ,左ルー・ルー攻め派
三船 優,みふね ゆう,mifune_yuu@example.com,女,27,1991/1/18,既婚,O型,愛知県,056-746-6095,090-1935-7741,ドコモ,ぶっかけ・せき止め派
志村 友香,しむら ともか,shimura_tomoka@example.com,女,35,1983/8/12,既婚,O型,大阪府,095-843-3919,080-3072-4440,ドコモ,左ルー・別口派
大原 太朗,おおはら たろう,oohara_tarou@example.com,男,35,1983/3/31,既婚,B型,福岡県,016-250- 485,090-3967-9374,ドコモ,左ルー・ルー攻め派
桜井 慢太郎,さくらい まんたろう,sakurai_mantarou@example.com,男,44,1973/11/20,既婚,A型,埼玉県,0  -294-3067,090-3414-9690,ドコモ,ぶっかけ・せき止め派
菅原 勇,すがわら ゆう,sugawara_yuu@example.com,女,26,1991/11/4,既婚,AB型,広島県,056-717-8719,090-3342-5962,ツーカー,左ルー・別口派
水谷 詩織,みずたに しおり,mizutani_shiori@example.com,女,44,1973/11/24,既婚,A型,兵庫県,060-859-1918,080-  26- 184,ドコモ,右ルー・混ぜ混ぜ派
木下 晃司,きのした こうじ,kinoshita_kouji@example.com,男,76,1942/4/10,既婚,O型,新潟県,023-146-1188,080-5368-4756,ドコモ,手前ルー・ルー攻め派
前野 ひとみ,まえの ひとみ,maeno_hitomi@example.com,女,58,1960/2/11,既婚,O型,広島県,033-517-2980,080-5318-1226,ドコモ,手前ルー・別口派
矢田 法子,やだ のりこ,yada_noriko@example.com,女,31,1986/11/7,既婚,A型,奈良県,065-818-9905,090-3044-5468,au,奥ルー・せき止め派
古谷 努,ふるたに つとむ,furutani_tsutomu1@example.com,男,45,1973/10/27,既婚,A型,愛知県,037-770-1466,090-3519-8599,ソフトバンク,左ルー・ルー攻め派
山田 さとみ,やまだ さとみ,yamada_satomi@example.com,女,35,1983/6/24,既婚,A型,滋賀県,055-713-1013,080-8291-2227,au,左ルー・混ぜ混ぜ派
横田 由樹,よこた ゆき,yokota_yuki@example.com,女,47,1971/2/21,既婚,O型,栃木県,055-791-4378,090- 696-1365,ドコモ,左ルー・せき止め派
松尾 昴,まつお すばる,matsuo_subaru@example.com,男,38,1980/10/27,既婚,O型,熊本県,023-477-1556,080- 314-5215,ソフトバンク,左ルー・ナン派
芹沢 早紀,せりざわ さき,serizawa_saki@example.com,女,78,1940/5/24,既婚,O型,千葉県,0 5-879-6439,090-4309-6370,ドコモ,左ルー・ナン派
根本 さんま,ねもと さんま,nemoto_sanma@example.com,男,31,1987/9/21,未婚,A型,鹿児島県,024-549-6592,090-7727-3125,ソフトバンク,左ルー・せき止め派
今井 サダヲ,いまい さだお,imai_sadawo@example.com,男,21,1997/2/23,未婚,A型,神奈川県,0 3-464- 271,080-5822-2996,ドコモ,左ルー・せき止め派
飯野 達士,いいの たつひと,iino_tatsuhito@example.com,男,65,1953/3/17,既婚,O型,鳥取県,097-238- 203,090-1021-9808,ソフトバンク,ぶっかけ・混ぜ混ぜ派
山元 芽以,やまもと めい,yamamoto_mei@example.com,女,73,1945/1/30,既婚,B型,埼玉県,0 1-392-7128,090-9973-9529,ドコモ,左ルー・せき止め派
奈良 ちえみ,なら ちえみ,nara_chiemi@example.com,女,41,1977/2/4,既婚,A型,埼玉県,010-443-7471,080- 963-5073,au,左ルー・せき止め派
出口 詩織,でぐち しおり,deguchi_shiori@example.com,女,63,1955/1/14,既婚,A型,千葉県,071- 60-5112,080-4885-8311,ソフトバンク,ぶっかけ・ルー攻め派
水田 未來,みずた みらい,mizuta_mirai@example.com,男,21,1997/9/6,既婚,B型,東京都,051-371-6732,090-2503-7599,au,左ルー・ルー攻め派
尾形 結子,おがた ゆうこ,ogata_yuuko@example.com,女,73,1944/11/19,既婚,A型,青森県,032-725-5330,090- 883-8942,ドコモ,ぶっかけ・別口派
増田 良介,ますだ りょうすけ,masuda_ryousuke@example.com,男,30,1988/4/15,未婚,O型,茨城県,084-810-4161,080-6414-8240,ドコモ,左ルー・混ぜ混ぜ派
増田 花,ますだ はな,masuda_hana@example.com,女,75,1943/1/20,既婚,A型,神奈川県,045-791-8810,090-5245-4142,ソフトバンク,奥ルー・混ぜ混ぜ派
彼方 陽介,かなた ようすけ,kanata_yousuke@example.com,男,31,1987/7/4,既婚,O型,宮城県,073-979-3571,080-3233-4686,ドコモ,ぶっかけ・ナン派
金児 早紀,かねこ さき,kaneko_saki@example.com,女,29,1989/9/16,既婚,B型,鹿児島県,042-625-8239,090-2333-1632,ドコモ,右ルー・せき止め派
落合 光,おちあい ひかる,ochiai_hikaru@example.com,男,37,1980/12/4,既婚,O型,秋田県,022-962-1234,080-3016-6263,ドコモ,左ルー・混ぜ混ぜ派
益田 俊介,ますだ しゅんすけ,masuda_shunsuke1@example.com,男,22,1996/4/25,未婚,A型,北海道,081-210-6765,090-8400-6778,ドコモ,ぶっかけ・混ぜ混ぜ派
藤澤 崇史,ふじさわ たかし,fujisawa_takashi@example.com,男,72,1946/2/25,既婚,AB型,沖縄県,041-780-8629,080-6765-9878,au,左ルー・せき止め派
黄川田 砂羽,きかわだ さわ,kikawada_sawa@example.com,女,31,1987/7/9,未婚,B型,兵庫県,012-696-3833,080-1810-8272,ソフトバンク,左ルー・混ぜ混ぜ派
金沢 健,かねざわ けん,kanezawa_ken@example.com,男,38,1980/10/11,未婚,O型,千葉県,029-665-8110,080-7715-6802,au,左ルー・せき止め派
長谷 遥,ながや はるか,nagaya_haruka@example.com,女,37,1981/1/29,既婚,O型,神奈川県,012-369-9215,080-3779-4176,ドコモ,奥ルー・ルー攻め派
高沢 由美子,たかさわ ゆみこ,takasawa_yumiko@example.com,女,68,1950/1/26,既婚,B型,東京都,097-535-7009,090-2022-7253,ドコモ,ぶっかけ・ルー攻め派
高谷 洋介,たかや ようすけ,takaya_yousuke@example.com,男,69,1949/9/8,既婚,O型,埼玉県,083-171-4556,080-4725-8647,ドコモ,ぶっかけ・ルー攻め派
佐藤 隆之介,さとう りゅうのすけ,satou_ryuunosuke@example.com,男,59,1958/12/28,既婚,O型,東京都,092- 38-1393,090-1198-4291,ドコモ,奥ルー・せき止め派
堀内 幸子,ほりうち さちこ,horiuchi_sachiko@example.com,女,54,1964/4/1,既婚,A型,神奈川県,0 1-772-5260,080-1744-7942,ドコモ,奥ルー・別口派
坂田 恵子,さかた けいこ,sakata_keiko@example.com,女,65,1953/8/17,既婚,A型,三重県,020-844-1925,080-6805-4838,au,右ルー・ルー攻め派
片桐 なつみ,かたぎり なつみ,katagiri_natsumi1@example.com,女,24,1993/11/10,既婚,A型,鹿児島県,042-489-4771,080-5135-1625,ドコモ,左ルー・ナン派
桜田 守,さくらだ まもる,sakurada_mamoru@example.com,男,68,1950/2/23,既婚,A型,埼玉県,055-508-2212,090-1416-9529,au,左ルー・せき止め派
高橋 直人,たかはし なおと,takahashi_naoto@example.com,男,69,1949/7/16,既婚,AB型,東京都,086-795-2754,090-7332-2603,ソフトバンク,奥ルー・ルー攻め派
川瀬 真悠子,かわせ まゆこ,kawase_mayuko@example.com,女,30,1988/5/19,既婚,A型,東京都,027-689-7855,090-6905-4422,ドコモ,左ルー・ルー攻め派
八十田 蒼甫,やそだ そうすけ,yasoda_sousuke@example.com,男,47,1970/11/15,既婚,A型,栃木県,024-163-2399,090-2632-9953,au,手前ルー・ルー攻め派
安永 昴,やすなが すばる,yasunaga_subaru@example.com,男,74,1943/12/3,既婚,A型,愛知県,052-665-9972,080-1900-6500,ドコモ,左ルー・別口派
平山 めぐみ,ひらやま めぐみ,hirayama_megumi@example.com,女,63,1955/3/13,既婚,A型,沖縄県,0 7-253-3446,090-9722-9790,ドコモ,左ルー・ルー攻め派
吉田 洋介,よしだ ようすけ,yoshida_yousuke@example.com,男,66,1952/7/22,既婚,A型,愛知県,054-522-4400,090-4289-1211,au,ぶっかけ・ルー攻め派
藤森 勝久,ふじもり かつひさ,fujimori_katsuhisa@example.com,男,32,1986/9/14,既婚,A型,岡山県,0 5-376-5020,080-3243-1438,au,ぶっかけ・混ぜ混ぜ派
宮沢 明,みやざわ あきら,miyazawa_akira@example.com,男,54,1964/2/14,既婚,O型,神奈川県,093-765-6274,090-1651-5297,au,ぶっかけ・別口派
中原 碧海,なかはら おうが,nakahara_ouga@example.com,男,26,1992/8/12,既婚,O型,山口県,044- 53- 271,080-6210-3260,ドコモ,左ルー・せき止め派
長岡 未來,ながおか みらい,nagaoka_mirai@example.com,男,68,1950/7/22,既婚,A型,千葉県,098-188-3923,080-8469-6172,au,ぶっかけ・ナン派
馬場 めぐみ,ばば めぐみ,baba_megumi@example.com,女,22,1996/1/10,未婚,A型,京都府,031-861-3874,080-2340- 465,ドコモ,右ルー・混ぜ混ぜ派
木本 紗季,きもと さき,kimoto_saki@example.com,女,73,1945/5/17,既婚,O型,神奈川県,066-296-4710,080-4503-1933,ドコモ,奥ルー・ルー攻め派
細川 寛,ほそかわ ひろし,hosokawa_hiroshi@example.com,男,72,1946/10/26,既婚,A型,大阪府,0 4-992-8234,080-7635-1732,ソフトバンク,右ルー・せき止め派
大林 早織,おおばやし さおり,oobayashi_saori@example.com,女,67,1951/4/21,既婚,AB型,福島県,056-281- 308,090- 423-5190,ドコモ,ぶっかけ・せき止め派
小栗 一恵,おぐり かづえ,oguri_kadue@example.com,女,70,1947/12/6,既婚,B型,熊本県,082-459-5776,090-5987-8475,ドコモ,ぶっかけ・せき止め派
塩谷 まさし,しおや まさし,shioya_masashi@example.com,男,79,1938/11/17,既婚,B型,東京都,030-951- 199,080-5409-6840,au,ぶっかけ・混ぜ混ぜ派
内田 智花,うちだ ともか,uchida_tomoka@example.com,女,45,1972/11/29,未婚,A型,大阪府,0 7-354-2830,080-3265-8955,ドコモ,ぶっかけ・せき止め派
日高 直人,ひだか なおと,hidaka_naoto@example.com,男,36,1982/2/28,既婚,AB型,愛知県,085-483-8242,090-7643-9905,au,ぶっかけ・せき止め派
ト字 路子,とじ みちこ,toji_michiko@example.com,女,24,1993/12/20,既婚,O型,長野県,020-736-7909,090-4277- 569,au,ぶっかけ・別口派
海老原 鉄洋,えびはら てつひろ,ebihara_tetsuhiro@example.com,男,61,1957/6/9,既婚,B型,徳島県,0 8-187-5923,080-5926-6220,ドコモ,ぶっかけ・混ぜ混ぜ派
金井 幸子,かない さちこ,kanai_sachiko@example.com,女,63,1955/7/21,既婚,B型,愛知県,052-285-7271,090-2792-9065,ソフトバンク,左ルー・混ぜ混ぜ派
島村 那奈,しまむら なな,shimamura_nana@example.com,女,24,1994/3/14,既婚,A型,北海道,043-531- 499,080-7449-6038,au,左ルー・ルー攻め派
浜田 誠一,はまだ せいいち,hamada_seiichi@example.com,男,50,1968/1/20,既婚,O型,富山県,053-550-5584,080-4944-1652,ドコモ,左ルー・せき止め派
パンツェッタ 美希,ぱんつぇった みき,panzetta_miki@example.com,女,65,1953/5/18,既婚,A型,岡山県,017-908-3594,080-1153-6294,ソフトバンク,右ルー・混ぜ混ぜ派
木内 英嗣,きうち ひでつぐ,kiuchi_hidetsugu@example.com,男,75,1943/2/19,既婚,O型,愛知県,022-601-6883,090-6309-4060,ドコモ,左ルー・せき止め派
水崎 有海,みさき あみ,misaki_ami@example.com,女,68,1949/11/21,既婚,A型,高知県,012- 46-5897,080-8180-7557,au,奥ルー・混ぜ混ぜ派
菅原 莉沙,すがわら りさ,sugawara_risa@example.com,女,60,1958/5/10,既婚,A型,滋賀県,070-106-9658,090-7366-9001,au,左ルー・せき止め派
木原 ちえみ,きはら ちえみ,kihara_chiemi@example.com,女,48,1969/12/17,既婚,O型,滋賀県,072- 57-9401,080- 221-3851,ドコモ,ぶっかけ・ルー攻め派
池内 あおい,いけうち あおい,ikeuchi_aoi@example.com,女,70,1948/4/22,既婚,B型,茨城県,099-362-1825,090-7237-4301,au,左ルー・ルー攻め派
内野 真一,うちの しんいち,uchino_shinichi@example.com,男,68,1950/3/24,既婚,O型,茨城県,038-872-8825,080- 108-3942,ソフトバンク,右ルー・ルー攻め派
成瀬 奈央,なるせ なお,naruse_nao@example.com,女,41,1977/9/25,既婚,A型,兵庫県,088- 81-1919,080-8915-5452,au,ぶっかけ・せき止め派
井原 利夫,いはら としお,ihara_toshio@example.com,男,68,1950/7/28,既婚,B型,福岡県,087-762- 651,080-4727-5888,ソフトバンク,右ルー・別口派
村井 晋也,むらい しんや,murai_shinya1@example.com,男,20,1998/1/24,未婚,A型,愛知県,014- 92-6771,090-9715-1551,ドコモ,右ルー・混ぜ混ぜ派
松本 新太,まつもと あらた,matsumoto_arata@example.com,男,27,1991/7/22,既婚,B型,青森県,058-638-6420,090-9650-3614,ドコモ,ぶっかけ・せき止め派
近藤 聖陽,こんどう まさあき,kondou_masaaki@example.com,男,58,1960/7/30,既婚,O型,岡山県,089-695-1223,080-6059-5758,au,手前ルー・ルー攻め派
大坪 竜也,おおつぼ たつや,ootsubo_tatsuya@example.com,男,40,1978/6/23,既婚,A型,大阪府,074-182-7969,080-6917-2203,ドコモ,右ルー・ルー攻め派
内藤 俊二,ないとう しゅんじ,naitou_shunji@example.com,男,43,1974/12/7,既婚,A型,福島県,055-948-3400,080-9770-2658,ドコモ,右ルー・ルー攻め派
阪本 基祐,さかもと きすけ,sakamoto_kisuke@example.com,男,75,1943/2/17,既婚,B型,兵庫県,057-137-5410,080-7935-8026,ドコモ,ぶっかけ・別口派
坂口 莉緒,さかぐち りお,sakaguchi_rio@example.com,女,32,1986/4/20,既婚,A型,北海道,026-152-5513,080-8684-7709,au,左ルー・せき止め派
大矢 涼子,おおや りょうこ,ooya_ryouko@example.com,女,51,1967/10/12,既婚,O型,京都府,094-238-2194,080-7222-2625,ドコモ,右ルー・せき止め派
山形 雅功,やまがた まさとし,yamagata_masatoshi@example.com,男,58,1960/6/19,既婚,O型,青森県,033-415-1520,080-6816-5155,ドコモ,奥ルー・混ぜ混ぜ派
海音寺 克実,かいおんじ かつみ,kaionji_katsumi@example.com,男,41,1977/3/24,未婚,O型,岩手県,036- 90-3964,080-3002-7692,au,左ルー・せき止め派
北島 完爾,きたじま かんじ,kitajima_kanji@example.com,男,33,1985/5/10,未婚,A型,福岡県,021-886-9528,090-5377-4224,ソフトバンク,ぶっかけ・せき止め派
吉井 さやか,よしい さやか,yoshii_sayaka@example.com,女,44,1973/11/11,既婚,O型,福島県,0 2-663- 395,080-9462-2311,ソフトバンク,ぶっかけ・ルー攻め派
江川 直人,えがわ なおと,egawa_naoto@example.com,男,77,1941/9/15,既婚,O型,神奈川県,077-790-1447,090-9063-9544,ソフトバンク,左ルー・別口派
佐藤 莉沙,さとう りさ,satou_risa@example.com,女,55,1963/7/6,既婚,A型,長崎県,083- 11-6340,080- 487-6200,ドコモ,右ルー・別口派
井口 きみまろ,いぐち きみまろ,iguchi_kimimaro@example.com,男,36,1982/9/7,既婚,O型,北海道,069-251-1636,090- 938-5218,ソフトバンク,奥ルー・せき止め派
奥山 さとみ,おくやま さとみ,okuyama_satomi@example.com,女,66,1952/8/21,既婚,O型,佐賀県,015-323-9180,090-9803-5964,ドコモ,ぶっかけ・別口派
平川 薫,ひらかわ かおる,hirakawa_kaoru@example.com,女,43,1974/12/2,既婚,A型,千葉県,033-736-1028,080-7976-6687,ドコモ,左ルー・混ぜ混ぜ派
小柳 はじめ,こやなぎ はじめ,koyanagi_hajime@example.com,男,44,1974/5/10,既婚,A型,東京都,065-825-9024,090- 867-9932,au,ぶっかけ・せき止め派
藤島 誠一,ふじしま せいいち,fujishima_seiichi@example.com,男,73,1945/4/19,既婚,O型,兵庫県,064-176-6762,090-2010-1486,ドコモ,左ルー・せき止め派
八田 早織,やつだ さおり,yatsuda_saori@example.com,女,40,1978/2/8,既婚,B型,埼玉県,061-871-7649,090- 602-3512,au,ぶっかけ・混ぜ混ぜ派
古沢 宏,ふるさわ ひろし,furusawa_hiroshi@example.com,男,28,1990/1/11,既婚,AB型,愛知県,074-717-8562,080-4934-8741,ドコモ,右ルー・別口派
高島 さんま,たかしま さんま,takashima_sanma@example.com,男,57,1960/12/16,既婚,A型,鹿児島県,050-724-5990,090-9060-6431,ドコモ,手前ルー・混ぜ混ぜ派
立石 愛梨,たちいし あいり,tachiishi_airi@example.com,女,43,1974/11/5,既婚,AB型,神奈川県,010-447-4001,090-7273-2188,ドコモ,左ルー・混ぜ混ぜ派
赤羽 美希,あかばね みき,akabane_miki@example.com,女,78,1940/9/11,既婚,AB型,広島県,098-711-4704,080-3623-4150,ソフトバンク,左ルー・せき止め派
三上 三郎,みかみ さぶろう,mikami_saburou@example.com,男,41,1977/2/14,既婚,A型,神奈川県,059- 70-9016,090-8997-3480,au,右ルー・ルー攻め派
岩間 莉沙,いわま りさ,iwama_risa@example.com,女,76,1942/4/25,既婚,O型,大分県,077-350-9902,080- 154-1097,ソフトバンク,手前ルー・せき止め派
岩本 洋介,いわもと ようすけ,iwamoto_yousuke@example.com,男,62,1956/8/22,既婚,A型,岐阜県,030-350-4787,090-1247-3539,ドコモ,右ルー・せき止め派
高瀬 ノブヒコ,たかせ のぶひこ,takase_nobuhiko@example.com,男,31,1987/8/24,既婚,O型,福岡県,078-981-3178,080-4844-2821,ドコモ,左ルー・混ぜ混ぜ派
森脇 愛梨,もりわき あいり,moriwaki_airi@example.com,女,44,1974/5/20,既婚,A型,東京都,047-565-7506,090-1709-1176,ソフトバンク,ぶっかけ・混ぜ混ぜ派
